wavenumber,absorbance
3718.59767,0.00397
3717.6333,0.00393
3716.66893,0.00408
3715.70457,0.00427
3714.7402,0.00469
3713.77583,0.00503
3712.81147,0.00463
3711.8471,0.00371
3710.88273,0.00332
3709.91837,0.00338
3708.954,0.00334
3707.98963,0.00348
3707.02527,0.00402
3706.0609,0.00448
3705.09653,0.00471
3704.13217,0.005
3703.1678,0.00518
3702.20343,0.00481
3701.23907,0.00423
3700.2747,0.00423
3699.31033,0.00478
3698.34597,0.00526
3697.3816,0.0053
3696.41723,0.00513
3695.45287,0.00495
3694.4885,0.00496
3693.52413,0.00536
3692.55977,0.00581
3691.5954,0.00609
3690.63103,0.00639
3689.66667,0.00655
3688.7023,0.00591
3687.73794,0.00498
3686.77357,0.00515
3685.8092,0.0062
3684.84484,0.00697
3683.88047,0.00709
3682.9161,0.00723
3681.95174,0.00772
3680.98737,0.00835
3680.023,0.00859
3679.05864,0.0085
3678.09427,0.00902
3677.1299,0.0098
3676.16554,0.00965
3675.20117,0.00861
3674.2368,0.00858
3673.27244,0.01027
3672.30807,0.01227
3671.3437,0.01306
3670.37934,0.01278
3669.41497,0.01278
3668.4506,0.01372
3667.48624,0.01521
3666.52187,0.01658
3665.5575,0.01762
3664.59314,0.01855
3663.62877,0.01953
3662.6644,0.02059
3661.70004,0.02176
3660.73567,0.02283
3659.7713,0.02374
3658.80694,0.02491
3657.84257,0.0264
3656.8782,0.02749
3655.91384,0.02792
3654.94947,0.02874
3653.9851,0.03034
3653.02074,0.03234
3652.05637,0.03399
3651.092,0.03481
3650.12764,0.03504
3649.16327,0.03569
3648.1989,0.03704
3647.23454,0.0383
3646.27017,0.03937
3645.3058,0.04101
3644.34144,0.04325
3643.37707,0.04519
3642.4127,0.04645
3641.44834,0.04757
3640.48397,0.04898
3639.5196,0.05047
3638.55524,0.05166
3637.59087,0.05275
3636.6265,0.05411
3635.66214,0.05554
3634.69777,0.0565
3633.7334,0.05713
3632.76904,0.05819
3631.80467,0.06016
3630.8403,0.062
3629.87594,0.06228
3628.91157,0.06139
3627.9472,0.06156
3626.98284,0.0634
3626.01847,0.06548
3625.05411,0.06685
3624.08974,0.06808
3623.12537,0.06949
3622.16101,0.07076
3621.19664,0.07153
3620.23227,0.0718
3619.26791,0.07191
3618.30354,0.07243
3617.33917,0.07354
3616.37481,0.07487
3615.41044,0.07607
3614.44607,0.07699
3613.48171,0.0776
3612.51734,0.07814
3611.55297,0.07909
3610.58861,0.08016
3609.62424,0.08052
3608.65987,0.08031
3607.69551,0.08052
3606.73114,0.08127
3605.76677,0.08215
3604.80241,0.08294
3603.83804,0.08367
3602.87367,0.08429
3601.90931,0.08485
3600.94494,0.08532
3599.98057,0.08561
3599.01621,0.08587
3598.05184,0.08634
3597.08747,0.08699
3596.12311,0.08747
3595.15874,0.08761
3594.19437,0.08773
3593.23001,0.088
3592.26564,0.08852
3591.30127,0.08938
3590.33691,0.0903
3589.37254,0.09075
3588.40817,0.09041
3587.44381,0.0898
3586.47944,0.08964
3585.51507,0.09031
3584.55071,0.09126
3583.58634,0.09178
3582.62197,0.09206
3581.65761,0.09248
3580.69324,0.09282
3579.72887,0.09294
3578.76451,0.09328
3577.80014,0.09399
3576.83577,0.09462
3575.87141,0.09501
3574.90704,0.09526
3573.94267,0.09545
3572.97831,0.09567
3572.01394,0.09602
3571.04957,0.09662
3570.08521,0.09736
3569.12084,0.09798
3568.15647,0.0981
3567.19211,0.09782
3566.22774,0.09774
3565.26337,0.09822
3564.29901,0.09916
3563.33464,0.10006
3562.37028,0.10081
3561.40591,0.10148
3560.44154,0.10205
3559.47718,0.10253
3558.51281,0.10303
3557.54844,0.10361
3556.58408,0.10406
3555.61971,0.10444
3554.65534,0.10502
3553.69098,0.10574
3552.72661,0.10628
