wavenumber,absorbance
3718.59767,0.00297
3717.6333,0.00299
3716.66893,0.00322
3715.70457,0.0035
3714.7402,0.0038
3713.77583,0.00363
3712.81147,0.00251
3711.8471,0.00105
3710.88273,0.00055
3709.91837,0.00082
3708.954,0.00114
3707.98963,0.00155
3707.02527,0.00223
3706.0609,0.00273
3705.09653,0.00292
3704.13217,0.0029
3703.1678,0.00246
3702.20343,0.00167
3701.23907,0.00128
3700.2747,0.0016
3699.31033,0.00203
3698.34597,0.00213
3697.3816,0.00199
3696.41723,0.00189
3695.45287,0.00185
3694.4885,0.00203
3693.52413,0.00227
3692.55977,0.00191
3691.5954,0.00095
3690.63103,0.00033
3689.66667,0.00036
3688.7023,0.00029
3687.73794,0.00016
3686.77357,0.00088
3685.8092,0.00215
3684.84484,0.00287
3683.88047,0.00287
3682.9161,0.00304
3681.95174,0.00364
3680.98737,0.00411
3680.023,0.0039
3679.05864,0.00343
3678.09427,0.00359
3677.1299,0.00357
3676.16554,0.00236
3675.20117,0.00086
3674.2368,0.00151
3673.27244,0.00425
3672.30807,0.00665
3671.3437,0.00702
3670.37934,0.00616
3669.41497,0.00594
3668.4506,0.00692
3667.48624,0.00846
3666.52187,0.0098
3665.5575,0.01076
3664.59314,0.01153
3663.62877,0.01233
3662.6644,0.01329
3661.70004,0.01435
3660.73567,0.01532
3659.7713,0.0162
3658.80694,0.01705
3657.84257,0.01772
3656.8782,0.01811
3655.91384,0.0187
3654.94947,0.02009
3653.9851,0.02187
3653.02074,0.02333
3652.05637,0.02409
3651.092,0.0242
3650.12764,0.02407
3649.16327,0.0244
3648.1989,0.02539
3647.23454,0.02675
3646.27017,0.02851
3645.3058,0.03065
3644.34144,0.03277
3643.37707,0.03445
3642.4127,0.03567
3641.44834,0.03669
3640.48397,0.03777
3639.5196,0.03885
3638.55524,0.03976
3637.59087,0.04059
3636.6265,0.04171
3635.66214,0.04298
3634.69777,0.04383
3633.7334,0.04423
3632.76904,0.04499
3631.80467,0.04657
3630.8403,0.04781
3629.87594,0.04751
3628.91157,0.04642
3627.9472,0.04673
3626.98284,0.04879
3626.01847,0.05125
3625.05411,0.05302
3624.08974,0.05423
3623.12537,0.05532
3622.16101,0.05643
3621.19664,0.05724
3620.23227,0.05744
3619.26791,0.05729
3618.30354,0.05751
3617.33917,0.05844
3616.37481,0.05974
3615.41044,0.06086
3614.44607,0.06146
3613.48171,0.06159
3612.51734,0.06171
3611.55297,0.06256
3610.58861,0.06387
3609.62424,0.06452
3608.65987,0.0644
3607.69551,0.06453
3606.73114,0.06521
3605.76677,0.06598
3604.80241,0.06669
3603.83804,0.0674
3602.87367,0.06776
3601.90931,0.06771
3600.94494,0.06759
3599.98057,0.06764
3599.01621,0.06789
3598.05184,0.06834
3597.08747,0.06885
3596.12311,0.06917
3595.15874,0.0694
3594.19437,0.06978
3593.23001,0.07019
3592.26564,0.0706
3591.30127,0.07135
3590.33691,0.07222
3589.37254,0.07249
3588.40817,0.0719
3587.44381,0.07122
3586.47944,0.07119
3585.51507,0.07197
3584.55071,0.07307
3583.58634,0.07387
3582.62197,0.07423
3581.65761,0.07437
3580.69324,0.07455
3579.72887,0.07489
3578.76451,0.07531
3577.80014,0.07564
3576.83577,0.07581
3575.87141,0.07606
3574.90704,0.07646
3573.94267,0.07689
3572.97831,0.07732
3572.01394,0.07776
3571.04957,0.07828
3570.08521,0.07883
3569.12084,0.07913
3568.15647,0.07885
3567.19211,0.07824
3566.22774,0.07808
3565.26337,0.07876
3564.29901,0.07993
3563.33464,0.081
3562.37028,0.08179
3561.40591,0.08234
3560.44154,0.08269
3559.47718,0.0831
3558.51281,0.08377
3557.54844,0.08458
3556.58408,0.08531
3555.61971,0.08593
3554.65534,0.08636
3553.69098,0.08652
3552.72661,0.08673
3551.76224,0.08735
3550.79788,0.08827
3549.83351,0.08908
3548.86914,0.08959
3547.90478,0.08999
3546.94041,0.09051
3545.97604,0.09119
3545.01168,0.09182
3544.04731,0.09232
3543.08294,0.09287
3542.11858,0.09364
3541.15421,0.09455
3540.18984,0.09528
3539.22548,0.09578
3538.26111,0.09628
3537.29674,0.09692
3536.33238,0.09752
3535.36801,0.09794
3534.40364,0.09835
3533.43928,0.099
3532.47491,0.09985
3531.51054,0.10061
3530.54618,0.10112
3529.58181,0.10147
3528.61744,0.10179
3527.65308,0.10219
3526.68871,0.10278
3525.72434,0.10354
3524.75998,0.10428
3523.79561,0.1049
3522.83124,0.10545
3521.86688,0.10605
3520.90251,0.10676
3519.93814,0.10753
3518.97378,0.10827
3518.00941,0.10889
3517.04504,0.10943
3516.08068,0.11002
3515.11631,0.11071
3514.15194,0.11132
3513.18758,0.11173
3512.22321,0.11217
3511.25884,0.11281
3510.29448,0.11341
3509.33011,0.11372
3508.36574,0.11402
3507.40138,0.11462
3506.43701,0.11533
3505.47264,0.11582
3504.50828,0.11611
3503.54391,0.11651
3502.57955,0.11719
3501.61518,0.11797
3500.65081,0.11856
3499.68645,0.11897
3498.72208,0.11945
3497.75771,0.12001
3496.79335,0.12046
3495.82898,0.12084
3494.86461,0.12129
3493.90025,0.12182
3492.93588,0.12231
3491.97151,0.12274
3491.00715,0.12316
3490.04278,0.12356
3489.07841,0.12393
3488.11405,0.12427
3487.14968,0.12464
3486.18531,0.12506
3485.22095,0.12554
3484.25658,0.12605
3483.29221,0.12644
3482.32785,0.12667
3481.36348,0.12691
3480.39911,0.12728
3479.43475,0.12773
3478.47038,0.12817
3477.50601,0.12855
3476.54165,0.12887
3475.57728,0.12913
3474.61291,0.12931
3473.64855,0.12944
3472.68418,0.12974
3471.71981,0.13033
3470.75545,0.13095
3469.79108,0.13136
3468.82671,0.13163
3467.86235,0.13188
3466.89798,0.13213
3465.93361,0.1324
3464.96925,0.13272
3464.00488,0.13307
3463.04051,0.13336
3462.07615,0.13357
3461.11178,0.13379
3460.14741,0.13411
3459.18305,0.13448
3458.21868,0.13486
3457.25431,0.13531
3456.28995,0.13576
3455.32558,0.13599
3454.36121,0.13601
3453.39685,0.13607
3452.43248,0.13633
3451.46811,0.13668
3450.50375,0.13701
3449.53938,0.13722
3448.57501,0.13719
3447.61065,0.13707
3446.64628,0.13719
3445.68191,0.13759
3444.71755,0.13797
3443.75318,0.13811
3442.78881,0.13816
3441.82445,0.13828
3440.86008,0.13859
3439.89572,0.13902
3438.93135,0.13951
3437.96698,0.13994
3437.00262,0.14021
3436.03825,0.14034
3435.07388,0.14043
3434.10952,0.14049
3433.14515,0.14055
3432.18078,0.14071
3431.21642,0.14107
3430.25205,0.14139
3429.28768,0.14144
3428.32332,0.14132
3427.35895,0.14128
3426.39458,0.14139
3425.43022,0.14157
3424.46585,0.14178
3423.50148,0.14201
3422.53712,0.14223
3421.57275,0.14236
3420.60838,0.14235
3419.64402,0.14231
3418.67965,0.14237
3417.71528,0.14252
3416.75092,0.14269
3415.78655,0.14287
3414.82218,0.14313
3413.85782,0.1434
3412.89345,0.14358
3411.92908,0.14367
3410.96472,0.14384
3410.00035,0.14406
3409.03598,0.14416
3408.07162,0.14409
3407.10725,0.14403
3406.14288,0.1441
3405.17852,0.1442
3404.21415,0.14422
3403.24978,0.14418
3402.28542,0.14423
3401.32105,0.14449
3400.35668,0.14474
3399.39232,0.14477
